[startup] Initializing environment...
[startup] Environment initialized in 0.0s
[startup] Resetting environment and loading checkpoint...
[startup] Checkpoint loaded in 5.5s
[startup] Loading evaluation goal...
Using badge-success goal: /home/yeonlife/rl_project/PokemonofflineRL/offline_trajectories/trajectory_seed_000.npz (step 8081)
[startup] Evaluation goal loaded in 0.2s
Checkpoint: /home/yeonlife/rl_project/PokemonofflineRL/checkpoints/hiql_0804/hiql_10000.msgpack
Evaluating 300 episodes (max 50000 steps each, logging every 1000 steps)
[startup] Ready in 5.6s. The first policy call may include JAX compilation time.
[episode 1/300] resetting environment...
[episode 1/300] started (reset=0.0s, max_steps=50,000)
[episode 3/300 | step 18,000/50,000] return=65.871 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=6, map=0)
[episode 3/300 | step 19,000/50,000] return=66.871 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=13, map=0)
[episode 3/300 | step 20,000/50,000] return=66.971 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=39)
[episode 3/300 | step 21,000/50,000] return=66.971 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=13, y=6, map=0)
[episode 3/300 | step 22,000/50,000] return=66.971 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=2, y=7, map=0)
[episode 3/300 | step 23,000/50,000] return=67.371 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=14, y=6, map=0)
[episode 3/300 | step 24,000/50,000] return=67.371 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=8, y=12, map=0)
[episode 3/300 | step 25,000/50,000] return=67.471 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=12, y=11, map=40)
[episode 3/300 | step 26,000/50,000] return=67.871 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=3, y=10, map=0)
[episode 3/300 | step 27,000/50,000] return=69.771 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=20, map=12)
[episode 3/300 | step 28,000/50,000] return=80.771 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 29,000/50,000] return=85.821 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 30,000/50,000] return=86.271 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=35, y=30, map=1)
[episode 3/300 | step 31,000/50,000] return=91.221 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 32,000/50,000] return=91.621 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 33,000/50,000] return=91.871 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=28, map=1)
[episode 3/300 | step 34,000/50,000] return=91.921 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 35,000/50,000] return=91.971 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=7, y=28, map=1)
[episode 3/300 | step 36,000/50,000] return=91.921 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=4, y=30, map=1)
[episode 3/300 | step 37,000/50,000] return=92.071 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=5, y=28, map=1)
[episode 3/300 | step 38,000/50,000] return=92.071 badges=[0, 0, 0, 0, 0, 0, 0, 0] position=(x=34, y=29, map=1)
