saved offline_trajectories/trajectory_seed_219.npz | steps=16415 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_220.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_221.npz | steps=15130 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_222.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_223.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_224.npz | steps=8948 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_225.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_226.npz | steps=22059 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_227.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_228.npz | steps=23094 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_229.npz | steps=21854 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_230.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_231.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_232.npz | steps=22794 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_233.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_234.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_235.npz | steps=11014 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_236.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_237.npz | steps=7479 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_238.npz | steps=9630 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_239.npz | steps=14990 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_240.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_241.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_242.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_243.npz | steps=15737 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_244.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_245.npz | steps=9471 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_246.npz | steps=12415 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_247.npz | steps=29542 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_248.npz | steps=19131 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_249.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_250.npz | steps=17023 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_251.npz | steps=11893 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_252.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_253.npz | steps=30297 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_254.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_255.npz | steps=9516 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_256.npz | steps=22617 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_257.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_258.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_259.npz | steps=16043 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_260.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_261.npz | steps=22734 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_262.npz | steps=20170 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_263.npz | steps=13017 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_264.npz | steps=8926 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_265.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_266.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_267.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_268.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_269.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_270.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_271.npz | steps=9606 | badges=[0 0 0 0 0 0 0 1]
saved offline_trajectories/trajectory_seed_272.npz | steps=50000 | badges=[0 0 0 0 0 0 0 0]
saved offline_trajectories/trajectory_seed_273.npz | steps=46118 | badges=[0 0 0 0 0 0 0 1]
